IdFiles,ScoringTeam,Score,Difference,NoInformation
101_1,Athletic Club,0_1,-1,
101_2,,NF,NF,NF
108_1,Rayo Vallecano,1_0,1,
108_2,Villarreal,1_1,0,
108_3,Rayo Vallecano,2_1,1,
108_4,,NF,NF,NF
111_1,Rayo Vallecano,1_0,1,
111_2,Málaga,1_1,0,
111_3,,NF,NF,NF
114_1,Rayo Vallecano,1_0,1,
114_2,Rayo Vallecano,2_0,2,
114_3,Real Madrid,2_1,1,
114_4,Real Madrid,2_2,0,
114_5,Real Madrid,2_3,-1,
114_6,,NF,NF,NF
121_1,Atlético Madrid,0_1,-1,
121_2,,NF,NF,NF
129_1,Real Sociedad,0_1,-1,
129_2,Real Sociedad,0_2,-2,
129_3,Rayo Vallecano,1_2,-1,
129_4,,NF,NF,NF
136_1,Rayo Vallecano,1_0,1,
136_2,Rayo Vallecano,2_0,2,
136_3,Levante UD,2_1,1,
136_4,Rayo Vallecano,3_1,2,
136_5,,NF,NF,NF
17_1,Rayo Vallecano,1_0,1,
17_2,Valencia,1_1,0,
17_3,Rayo Vallecano,2_1,1,
17_4,Valencia,2_2,0,
17_5,,NF,NF,NF
234_1,,,NF,
23_1,Rayo Vallecano,1_0,1,
23_2,Rayo Vallecano,2_0,2,
23_3,Rayo Vallecano,3_0,3,
23_4,,NF,NF,NF
241_1,Celta Vigo,0_1,-1,
241_2,Celta Vigo,0_2,-2,
241_3,Celta Vigo,0_3,-3,
241_4,,NF,NF,NF
257_1,RC Deportivo La Coruña,0_1,-1,
257_2,Rayo Vallecano,1_1,0,
257_3,RC Deportivo La Coruña,1_2,-1,
257_4,RC Deportivo La Coruña,1_3,-2,
257_5,,NF,NF,NF
263_1,Rayo Vallecano,1_0,1,
263_2,,NF,NF,NF
266_1,Rayo Vallecano,1_0,1,
266_2,Rayo Vallecano,2_0,2,
266_3,Sporting Gijón,2_1,1,
266_4,,NF,NF,NF
269_1,Sevilla,0_1,-1,
269_2,Sevilla,0_2,-2,
269_3,Rayo Vallecano,1_2,-1,
269_4,Rayo Vallecano,2_2,0,
269_5,Sevilla,2_3,-1,
269_6,,NF,NF,NF
277_1,Real Betis,0_1,-1,
277_2,Real Betis,0_2,-2,
277_3,,NF,NF,NF
290_1,Rayo Vallecano,1_0,1,
290_2,Barcelona,1_1,0,
290_3,Barcelona,1_2,-1,
290_4,Barcelona,1_3,-2,
290_5,Barcelona,1_4,-3,
290_6,Barcelona,1_5,-4,
290_7,Rayo Vallecano,2_5,-3,
290_8,,NF,NF,NF
296_1,Rayo Vallecano,1_0,1,
296_2,Rayo Vallecano,2_0,2,
296_3,Rayo Vallecano,3_0,3,
296_4,,NF,NF,NF
305_1,Eibar,0_1,-1,
305_2,,NF,NF,NF
311_1,Rayo Vallecano,1_0,1,
311_2,Rayo Vallecano,2_0,2,
311_3,Granada,2_1,1,
311_4,,NF,NF,NF
327_1,Getafe,0_1,-1,
327_2,Rayo Vallecano,1_1,0,
327_3,,NF,NF,NF
32_1,Rayo Vallecano,1_0,1,
32_2,RC Deportivo La Coruña,1_1,0,
32_3,Rayo Vallecano,2_1,1,
32_4,RC Deportivo La Coruña,2_2,0,
32_5,,NF,NF,NF
333_1,Athletic Club,0_1,-1,
333_2,Athletic Club,0_2,-2,
333_3,Athletic Club,0_3,-3,
333_4,,NF,NF,NF
340_1,Rayo Vallecano,1_0,1,
340_2,Villarreal,1_1,0,
340_3,Villarreal,1_2,-1,
340_4,,NF,NF,NF
347_1,Rayo Vallecano,1_0,1,
347_2,Málaga,1_1,0,
347_3,Málaga,1_2,-1,
347_4,,NF,NF,NF
354_1,Real Madrid,0_1,-1,
354_2,Rayo Vallecano,1_1,0,
354_3,Rayo Vallecano,2_1,1,
354_4,Real Madrid,2_2,0,
354_5,Real Madrid,2_3,-1,
354_6,Real Madrid,2_4,-2,
354_7,Real Madrid,2_5,-3,
354_8,Real Madrid,2_6,-4,
354_9,Real Madrid,2_7,-5,
354_10,Real Madrid,2_8,-6,
354_11,Real Madrid,2_9,-7,
354_12,Real Madrid,2_10,-8,
354_13,,NF,NF,NF
364_1,Atlético Madrid,0_1,-1,
364_2,Atlético Madrid,0_2,-2,
364_3,,NF,NF,NF
37_1,Rayo Vallecano,1_0,1,
37_2,Rayo Vallecano,2_0,2,
37_3,,NF,NF,NF
3_1,Rayo Vallecano,1_0,1,
3_2,Real Sociedad,1_1,0,
3_3,Rayo Vallecano,2_1,1,
3_4,Real Sociedad,2_2,0,
3_5,,NF,NF,NF
43_1,Sporting Gijón,0_1,-1,
43_2,Rayo Vallecano,1_1,0,
43_3,Sporting Gijón,1_2,-1,
43_4,Rayo Vallecano,2_2,0,
43_5,,NF,NF,NF
52_1,Sevilla,0_1,-1,
52_2,Sevilla,0_2,-2,
52_3,Rayo Vallecano,1_2,-1,
52_4,Rayo Vallecano,2_2,0,
52_5,,NF,NF,NF
58_1,Real Betis,0_1,-1,
58_2,Real Betis,0_2,-2,
58_3,Rayo Vallecano,1_2,-1,
58_4,Rayo Vallecano,2_2,0,
58_5,,NF,NF,NF
63_1,Barcelona,0_1,-1,
63_2,Barcelona,0_2,-2,
63_3,Barcelona,0_3,-3,
63_4,Rayo Vallecano,1_3,-2,
63_5,Barcelona,1_4,-3,
63_6,Barcelona,1_5,-4,
63_7,,NF,NF,NF
67_1,Espanyol,0_1,-1,
67_2,Rayo Vallecano,1_1,0,
67_3,Espanyol,1_2,-1,
67_4,,NF,NF,NF
72_1,Rayo Vallecano,1_0,1,
72_2,Eibar,1_1,0,
72_3,,NF,NF,NF
79_1,Granada,0_1,-1,
79_2,Rayo Vallecano,1_1,0,
79_3,Granada,1_2,-1,
79_4,Rayo Vallecano,2_2,0,
79_5,,NF,NF,NF
92_1,Rayo Vallecano,1_0,1,
92_2,Rayo Vallecano,2_0,2,
92_3,,NF,NF,NF
9_1,Levante UD,0_1,-1,
9_2,Levante UD,0_2,-2,
9_3,Rayo Vallecano,1_2,-1,
9_4,,NF,NF,NF
