,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
6616,4.5,4.95,2,4.0,1.41,2,0.81,,1,0.01,,1,0.83,,1
5503,5.0,2.45,5,4.8,2.77,5,0.62,,1,0.05,,1,0.71,,1
5203,6.33,1.87,9,6.22,2.33,9,0.75,,1,0.02,,1,0.77,,1
6379,5.57,1.99,7,6.0,1.41,7,0.77,,1,0.02,,1,0.62,,1
5506,5.29,2.36,7,5.43,3.51,7,0.44,,1,0.05,,1,0.56,,1
4691,2.71,1.89,7,3.86,2.12,7,1.0,,1,0.0,,1,0.0,,1
4324,4.4,2.61,5,5.2,2.59,5,0.3,,1,0.3,,1,0.71,,1
4320,6.11,2.15,9,5.78,1.86,9,0.55,,1,0.11,,1,0.77,,1
5213,5.5,2.07,8,6.12,2.7,8,0.64,,1,0.06,,1,0.77,,1
11094,4.0,1.41,2,3.5,2.12,2,0.67,,1,0.03,,1,0.67,,1
6998,5.0,4.24,2,4.0,4.24,2,0.79,,1,0.01,,1,0.79,,1
5470,5.67,1.86,6,6.83,2.32,6,0.42,,1,0.07,,1,0.59,,1
5211,5.86,1.57,7,6.86,1.57,7,0.63,,1,0.04,,1,0.71,,1
5216,6.5,3.7,4,6.0,2.58,4,0.67,,1,0.02,,1,0.45,,1
5246,6.12,2.53,8,3.38,1.6,8,0.65,,1,0.02,,1,0.71,,1
20055,3.5,2.12,2,6.5,2.12,2,0.61,,1,0.02,,1,0.45,,1
6332,8.0,,1,5.0,,1,0.78,,1,0.02,,1,0.79,,1
10609,4.8,0.84,5,5.4,1.14,5,0.68,,1,0.04,,1,0.71,,1
3508,7.0,1.41,2,3.5,0.71,2,0.45,,1,0.07,,1,0.71,,1
7068,5.0,,1,4.0,,1,0.29,,1,0.13,,1,0.62,,1
6400,7.0,,1,7.0,,1,0.64,,1,0.05,,1,0.77,,1
