,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,3.5,1.5,2,6.5,1.5,2,0.61,0.0,1,0.02,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
0_2,3.5,1.5,2,6.5,1.5,2,0.61,0.0,1,0.02,0.0,1,0.45,0.0,1,0.08,0.0,1,2.0,0.0,1
1_2,3.5,1.5,2,6.5,1.5,2,0.61,0.0,1,0.02,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
1_0,2.25,1.64,4,3.25,1.92,4,1.0,0.0,1,0.0,0.0,1,0.44,0.0,1,0.06,0.0,1,2.0,0.0,1
2_0,2.67,1.25,3,4.33,2.49,3,0.84,0.0,1,0.01,0.0,1,0.62,0.0,1,0.17,0.0,1,2.0,0.0,1
3_0,2.33,1.89,3,4.0,2.16,3,0.33,0.0,1,0.07,0.0,1,0.34,0.0,1,0.07,0.0,1,3.0,0.0,1
4_0,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.08,0.0,1,3.0,0.0,1
5_0,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.17,0.0,1,2.0,0.0,1
6_0,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.08,0.0,1,3.0,0.0,1
7_0,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.39,0.0,1,0.39,0.0,1
8_0,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.39,0.0,1,0.39,0.0,1
1_1,2.0,0.0,1,2.0,0.0,1,0.67,0.0,1,0.01,0.0,1,0.39,0.0,1,0.17,0.0,1,2.0,0.0,1
2_1,3.0,0.0,2,4.0,0.0,2,0.6,0.0,1,0.01,0.0,1,0.5,0.0,1,0.12,0.0,1,2.0,0.0,1
3_1,3.0,0.0,2,4.0,0.0,2,0.6,0.0,1,0.01,0.0,1,0.5,0.0,1,0.12,0.0,1,2.0,0.0,1
4_1,2.0,0.0,1,8.0,0.0,1,0.74,0.0,1,0.01,0.0,1,0.5,0.0,1,0.08,0.0,1,2.0,0.0,1
0_3,2.0,0.0,1,5.0,0.0,1,0.58,0.0,1,0.01,0.0,1,0.53,0.0,1,0.09,0.0,1,2.0,0.0,1
1_3,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.05,0.0,1,3.0,0.0,1
1_4,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.44,0.0,1,0.44,0.0,1
5_1,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.05,0.0,1,3.0,0.0,1
5_2,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.44,0.0,1,0.44,0.0,1
2_2,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.44,0.0,1,0.44,0.0,1
6_1,1.0,0.0,1,4.0,0.0,1,0.67,0.0,1,0.0,0.0,1,0.44,0.0,1,0.44,0.0,1,0.44,0.0,1
