,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,0.6,0.12,9,0.53,0.16,9,2.71,0.49,7.0
0_2,0.38,0.27,3,0.35,0.15,3,5.0,,1.0
1_2,0.59,0.16,3,0.51,0.17,3,2.5,0.71,2.0
1_0,0.64,0.16,28,0.57,0.17,28,2.96,0.66,26.0
2_0,0.58,0.22,18,0.55,0.15,18,3.0,1.1,16.0
3_0,0.6,0.12,14,0.54,0.12,14,3.0,0.41,13.0
1_1,0.44,0.19,13,0.4,0.17,13,3.12,0.64,8.0
2_1,0.5,0.18,12,0.45,0.16,12,3.82,1.17,11.0
2_2,0.3,0.05,2,0.26,0.07,2,4.0,,1.0
3_2,0.69,,1,0.65,,1,3.0,,1.0
0_3,0.62,,1,0.6,,1,3.0,,1.0
1_3,0.6,,1,0.52,,1,3.0,,1.0
1_4,0.0,,1,0.2,,1,,,
3_1,0.56,0.15,7,0.49,0.19,7,2.6,0.55,5.0
